"t","month","month_num","state","with_kids","low_income","n_hungry","n_fi","n_nonconf","sufficiency_respondents","confidence_respondents","n_snap","pebt","bach_or_higher","highschool_degree","no_highschool_degree","some_college","asian","black","latino","other","white","people"
1,"april",4,"Alabama",0,0,44306.09511652,243547.480940961,662283.28278558,1281591.35226259,1281591.3522626,16675.0402217911,1,457507.795982395,466126.6324445,62294.2325632,295662.6912725,19573.9698982,191766.2118739,71926.046705718,20528.51911999,977796.604664787,1281591.35226259
1,"april",4,"Alabama",0,1,139219.13655587,190217.890008916,349180.14312098,404629.785548356,415464.720381356,52599.3917830544,1,100311.036061956,198225.778242,33642.839218,72450.1320264,9576.6568183,105716.43006629,15557.7503574,12881.3661491,260897.582157266,415464.720381356
1,"april",4,"Alabama",0,NA,19268.64123659,67800.3387823767,105455.1830842,432524.53703425,276311.28666387,13235.4858897778,1,129490.14387885,167706.5248058,24317.5425274,111010.3258222,0,55324.54963413,1653.5882077,3305.9374367,372240.46175572,450409.0059452
1,"april",4,"Alabama",1,0,12021.74007203,108160.917057935,307886.058881217,708962.89499126,708962.89499126,19402.5972813222,1,331569.7749638,184491.8202862,32420.3321481,160480.96759316,10906.7751195,146733.24846264,14188.5875846,32245.50863072,504888.7751938,708962.89499126
1,"april",4,"Alabama",1,1,91897.20670825,190271.31625975,402130.025635,503614.03765719,502318.23182579,95493.2476752511,1,105834.43300228,176557.45854586,82453.2547823,138768.89132675,0,187309.31161958,16570.163179,14432.73005146,285301.83280715,503614.03765719
1,"april",4,"Alabama",1,NA,76757.28130764,121056.519317373,117288.69038374,352101.2749228,175768.55290566,46285.4671844211,1,78689.47334456,183433.6741872,34166.6281292,55811.49926184,3294.1878165,170188.37323816,28743.3982966,1647.0939083,148228.22166324,357335.9887664
1,"april",4,"Alaska",0,0,7598.527421125,25187.0422209013,61422.41752379,207321.674767239,207699.121116995,2814.68080293933,0,100221.468203442,51339.41653159,5009.97839921,50750.811632997,9440.795947683,5026.636600982,6079.515283576,29963.388171793,156811.338763205,207699.121116995
1,"april",4,"Alaska",0,1,8472.809576078,15915.4122561256,36405.257677255,50669.475148166,50786.636956176,8171.315975516,0,8549.121009438,22390.09869949,3919.88774759,15810.367691648,6627.58038365,189.03926041,4717.930683017,9719.453501197,29415.471319892,50786.636956176
1,"april",4,"Alaska",0,NA,1173.149773319,4485.15981847595,5122.894314519,37515.143797693,17783.023590646,987.066770723375,0,6428.486454349,19627.64066658,1016.166282,10442.850394764,674.10045441,418.51190147,1961.20100629,6031.75984892,28429.570586603,41561.706595305
1,"april",4,"Alaska",1,0,3081.31734313,18262.5178594431,59005.37957696,116067.829894913,116067.829894913,1923.93531628378,0,54978.077800268,20611.91574429,2219.73581363,38258.100536725,5576.86823588,4098.746876879,9345.384179285,18838.401190408,78208.429412461,116067.829894913
