"state","t","pebt","est_beneficiaries","application"
"Alabama",1,"1",461000,"none"
"Alabama",1,"0",461000,"none"
"Alaska",1,"0",73000,"all_but_snap"
"Arizona",1,"0",703000,"none"
"Arkansas",1,"0",303120,"none"
"California",1,"0",3927173,"all_but_snap"
"Colorado",1,"0",356099,"all_but_snap"
"Connecticut",1,"0",289407,"none"
"Delaware",1,"0",61602,"none"
"District of Columbia",1,"0",86415,"none"
"Florida",1,"0",2065374,"none"
"Georgia",1,"0",1100000,"all_but_snap"
"Hawaii",1,"0",93297,"none"
"Idaho",1,"0",130000,"none"
"Illinois",1,"1",1099786,"all_but_snap"
"Illinois",1,"0",1099786,"all_but_snap"
"Indiana",1,"0",588127,"none"
"Iowa",1,"0",249404,"none"
"Kansas",1,"0",169795,"all_but_snap"
"Kentucky",1,"0",601551,"all_but_snap"
"Louisiana",1,"0",732204,"all"
"Maine",1,"1",84000,"all_but_snap"
"Maine",1,"0",84000,"all_but_snap"
"Maryland",1,"0",430954,"none"
"Massachusetts",1,"0",522000,"none"
"Michigan",1,"1",829722,"none"
"Michigan",1,"0",829722,"none"
"Minnesota",1,"0",349952,"all_but_snap"
"Mississippi",1,"0",345827,"none"
"Missouri",1,"0",454690,"all_but_snap"
"Montana",1,"0",48385,"none"
"Nebraska",1,"0",156257,"all_but_snap"
"Nevada",1,"0",334000,"none"
"New Hampshire",1,"0",45190,"all_but_snap"
"New Jersey",1,"0",594207,"none"
"New Mexico",1,"0",245000,"none"
"New York",1,"1",2077711,"none"
"New York",1,"0",2077711,"none"
"North Carolina",1,"0",903320,"none"
"North Dakota",1,"0",39760,"all_but_snap"
"Ohio",1,"0",850000,"none"
"Oklahoma",1,"0",312021,"none"
"Oregon",1,"0",351000,"none"
"Pennsylvania",1,"0",991843,"none"
"Rhode Island",1,"1",74622,"none"
"Rhode Island",1,"0",74622,"none"
"South Carolina",1,"0",467000,"none"
"South Dakota",1,"0",62000,"all_but_snap"
"Tennessee",1,"0",615610,"all_but_snap"
"Texas",1,"0",3641635,"all_but_snap"
"Utah",1,"0",75000,"all_but_snap"
"Vermont",1,"0",39000,"none"
"Virginia",1,"0",594494,"none"
"Washington",1,"0",560267,"all_but_snap"
"West Virginia",1,"0",204542,"none"
"Wisconsin",1,"1",438000,"all_but_snap"
"Wisconsin",1,"0",438000,"all_but_snap"
"Wyoming",1,"0",36271,"all"
"Alabama",2,"0",461000,"none"
"Alaska",2,"0",73000,"all_but_snap"
"Arizona",2,"1",703000,"none"
"Arizona",2,"0",703000,"none"
"Arkansas",2,"0",303120,"none"
"California",2,"1",3927173,"all_but_snap"
"California",2,"0",3927173,"all_but_snap"
"Colorado",2,"0",356099,"all_but_snap"
"Connecticut",2,"0",289407,"none"
"Delaware",2,"1",61602,"none"
"Delaware",2,"0",61602,"none"
"District of Columbia",2,"0",86415,"none"
"Florida",2,"0",2065374,"none"
"Georgia",2,"0",1100000,"all_but_snap"
"Hawaii",2,"0",93297,"none"
"Idaho",2,"0",130000,"none"
"Illinois",2,"0",1099786,"all_but_snap"
"Indiana",2,"0",588127,"none"
"Iowa",2,"0",249404,"none"
"Kansas",2,"0",169795,"all_but_snap"
"Kentucky",2,"0",601551,"all_but_snap"
"Louisiana",2,"0",732204,"all"
"Maine",2,"0",84000,"all_but_snap"
"Maryland",2,"0",430954,"none"
"Massachusetts",2,"1",522000,"none"
"Massachusetts",2,"0",522000,"none"
"Michigan",2,"0",829722,"none"
"Minnesota",2,"0",349952,"all_but_snap"
"Mississippi",2,"0",345827,"none"
"Missouri",2,"1",454690,"all_but_snap"
"Missouri",2,"0",454690,"all_but_snap"
"Montana",2,"0",48385,"none"
"Nebraska",2,"0",156257,"all_but_snap"
"Nevada",2,"0",334000,"none"
"New Hampshire",2,"0",45190,"all_but_snap"
"New Jersey",2,"0",594207,"none"
"New Mexico",2,"1",245000,"none"
"New Mexico",2,"0",245000,"none"
"New York",2,"0",2077711,"none"
"North Carolina",2,"1",903320,"none"
"North Carolina",2,"0",903320,"none"
"North Dakota",2,"1",39760,"all_but_snap"
"North Dakota",2,"0",39760,"all_but_snap"
"North Dakota",2,"2",39760,"all_but_snap"
"Ohio",2,"0",850000,"none"
"Oklahoma",2,"0",312021,"none"
"Oregon",2,"0",351000,"none"
"Pennsylvania",2,"0",991843,"none"
"Rhode Island",2,"2",74622,"none"
"Rhode Island",2,"0",74622,"none"
"South Carolina",2,"0",467000,"none"
"South Dakota",2,"0",62000,"all_but_snap"
"Tennessee",2,"0",615610,"all_but_snap"
"Texas",2,"0",3641635,"all_but_snap"
"Utah",2,"0",75000,"all_but_snap"
"Vermont",2,"0",39000,"none"
"Virginia",2,"1",594494,"none"
"Virginia",2,"0",594494,"none"
"Washington",2,"0",560267,"all_but_snap"
"West Virginia",2,"0",204542,"none"
"Wisconsin",2,"0",438000,"all_but_snap"
"Wisconsin",2,"1",438000,"all_but_snap"
"Wyoming",2,"0",36271,"all"
"Alabama",3,"0",461000,"none"
"Alabama",3,"1",461000,"none"
"Alaska",3,"0",73000,"all_but_snap"
"Arizona",3,"0",703000,"none"
"Arkansas",3,"0",303120,"none"
"California",3,"0",3927173,"all_but_snap"
"Colorado",3,"0",356099,"all_but_snap"
"Connecticut",3,"1",289407,"none"
"Connecticut",3,"0",289407,"none"
"Delaware",3,"2",61602,"none"
"Delaware",3,"1",61602,"none"
"Delaware",3,"0",61602,"none"
"District of Columbia",3,"1",86415,"none"
"District of Columbia",3,"0",86415,"none"
"Florida",3,"0",2065374,"none"
"Georgia",3,"0",1100000,"all_but_snap"
"Hawaii",3,"0",93297,"none"
