Individuals ,State,,January,February,March ,April ,May ,June,July,August ,September ,October ,November,December 
,Colorado,individuals,434142,431415,439355,507074,524099,539349,551961,534198,523168,507644,499144,498021
,Florida,individuals,2718772,2683657,2683548,3212361,3661460,3816266,3844734,3871198,3941388,3699442,3566126,3504699
,Illinois,individuals,1775689,1726673,1752080,1929136,2031631,1975136,1962503,1958753,2007532,2021266,2027402,
,Indiana,individuals,561268,564492,566214,626860,661146,670509,650392,633289,646126,638096,635829,663854
,Iowa,individuals,301482,296438,298380,330298,338192,308227,301236,312251,318993,309893,304721,299487
,Kansas,individuals,190300,189767,189265,201962,209300,213382,207893,207103,205447,200655,199159,
,Kentucky,individuals,484952,482246,510340,592538,623649,653317,602204,606216,616169,575530,591619,
,Louisiana,individuals,784203,769768,775789,812290,843377,852693,856684,865683,893998,925182,946837,964857
,Maine,individuals,165883,165097,165688,176094,180164,179046,175631,174328,169668,164807,164975,166108
,Massachusetts,individuals,763476,761339,813078,885588,914328,863321,850765,868410,881482,888564,,
,Missouri,individuals,658410,657317,660628,752315,766227,773079,777885,771906,752531,726067,696615,702463
,New Jersey,individuals,659929,661194,657364,682839,717917,725316,734818,748349,769331,787978,,
,New York,individuals,2570601,2560098,2561187,2683002,2735982,2774025,2750252,2756187,2789533,2781742,2720372,
,North Carolina,individuals,1230448,1224307,1218886,1329266,1383470,1407400,1431972,1466449,1496110,1433232,1419309,1462651
,Ohio,individuals,1331462,1326165,1327620,1631726,1609629,1558976,1517574,1517124,1497983,1469570,,
,Oregon,individuals,586789,586397,604944,670038,690687,706402,713396,703062,708900,645530,505159,
,South Carolina,individuals,571309,567732,568652,592738,624819,638952,615572,617334,614905,611862,604551,599027
,South Dakota,individuals,78134,78006,77302,79148,79205,77981,77526,78149,78491,77417,76639,76303
,Tennessee,individuals,865718,844410,861165,904570,891047,876023,846867,855085,865419,876039,882279,911951
,Texas,individuals,3307067,3284136,3300725,3708167,3899226,3931953,3911394,3941165,4000861,3875285,3741196,3702636
,Virginia,individuals,683541,679702,687984,746608,767020,773719,785411,782261,778370,766549,758435,759082
,Wisconsin,individuals,598721,598362,603736,687303,697381,689186,684252,724242,707628,703267,722593,738211
,,,,,,,,,,,,,,
Households ,State,,,,,,,,,,,,,
,Alabama,households,335156,334581,335919,354410,363723,365109,361924,362459,364426,378612,382784,
,Colorado,households,220705,219519,223637,258793,267699,276588,281472,274040,268219,258264,254799,254089
,Florida,households,1489407,1474697,1476669,1797842,2061382,2151503,2167349,2186737,2232982,2102704,2031819,1994101
,Illinois,households,899501,876821,891097,985896,1042259,1052126,1047748,1051495,1076873,1086200,1091691,
,Indiana,households,253912,255786,256961,286420,301454,306765,300451,341446,300332,295693,294168,306899
,Iowa,households,144049,144817,145534,161426,165366,154233,152271,155712,158590,153413,150127,147347
,Kansas,households,90954,90650,90280,95760,99107,101150,99111,98800,97886,95790,95064,
,Louisiana,households,367270,361602,362905,385417,401685,407653,413235,414171,429255,445561,456830,467324
,Maine,households,89548,89398,90043,95494,97526,97370,96088,95452,93463,91509,91722,92280
,Massachusetts,households,458378,458066,464249,522810,538452,515524,509835,517289,521319,525738,,
,Missouri,households,310324,309923,311401,360937,367610,372799,375577,372464,362014,347363,333820,337321
,New Jersey ,households,336067,336713,335017,348149,365511,369824,376133,384337,394991,404321,,
,New York,households,1478960,1474315,1476054,1543983,1565993,1588996,1591841,1592924,1608752,1607378,1570998,
,North Carolina,households,597264,594553,592523,649710,677697,691992,706448,725454,741217,713731,709019,730466
,Ohio,households,661969,660512,662425,785965,791276,777746,763365,759198,742664,730337,,
,Oregon,households,348923,349406,361370,398786,410642,418713,423877,418648,411896,381555,342087,
,South Carolina,households,266299,264645,265315,278781,294312,302383,298413,293921,292875,290774,288318,286543
,South Dakota,households,37117,37002,36529,37326,37330,36955,36887,36959,37057,36454,35999,35930
,Tennessee,households,414949,404931,413098,438095,433234,433732,422460,426481,429572,434321,438036,452577
,Texas,households,1435466,1427440,1434445,1632187,1719197,1736648,1737228,1751810,1775173,1708512,1652879,1635849
,Virginia,households,335459,333669,337891,368664,380026,384686,390134,388954,386282,380758,376603,377487
,Wiconsin,households,309861,309805,313825,354088,361793,362524,361652,378181,372367,368098,379453,389355
