"state","with_kids","low_income","month","n_snap","month_num"
"Alabama",0,0,"april",16675.0402217911,4
"Alabama",0,0,"august",18213.9816159044,8
"Alabama",0,0,"december",11919.27005745,12
"Alabama",0,0,"february",16631.7906778337,2
"Alabama",0,0,"january",20760.4482778713,1
"Alabama",0,0,"july",18669.9345332378,7
"Alabama",0,0,"june",19186.7944989033,6
"Alabama",0,0,"march",18097.58923454,3
"Alabama",0,0,"may",18187.6989914689,5
"Alabama",0,0,"november",16633.6549251433,11
"Alabama",0,0,"october",15566.2616743317,10
"Alabama",0,0,"september",18458.9255477862,9
"Alabama",0,1,"april",52599.3917830544,4
"Alabama",0,1,"august",61564.6053036944,8
"Alabama",0,1,"december",35663.72689345,12
"Alabama",0,1,"february",44606.0916322589,2
"Alabama",0,1,"january",44494.8211610922,1
"Alabama",0,1,"july",57745.9783247156,7
"Alabama",0,1,"june",58028.1893820822,6
"Alabama",0,1,"march",47700.0322790544,3
"Alabama",0,1,"may",55623.7167933322,5
"Alabama",0,1,"november",66555.8878560967,11
"Alabama",0,1,"october",62806.6418392383,10
"Alabama",0,1,"september",62521.953841885,9
"Alabama",0,NA,"april",13235.4858897778,4
"Alabama",0,NA,"august",20404.4917684489,8
"Alabama",0,NA,"december",16377.55524505,12
"Alabama",0,NA,"february",9715.57753935556,2
"Alabama",0,NA,"january",9102.97516438889,1
"Alabama",0,NA,"july",15422.3299507489,7
"Alabama",0,NA,"june",14832.3182883933,6
"Alabama",0,NA,"march",9923.87056796667,3
"Alabama",0,NA,"may",14132.98680424,5
"Alabama",0,NA,"november",14149.2396004333,11
"Alabama",0,NA,"october",12916.220361165,10
"Alabama",0,NA,"september",13390.0891834663,9
"Alabama",1,0,"april",19402.5972813222,4
"Alabama",1,0,"august",20375.98535048,8
"Alabama",1,0,"december",16843.4796598,12
"Alabama",1,0,"february",13626.3367461811,2
"Alabama",1,0,"january",13080.3657635589,1
"Alabama",1,0,"july",20787.1043174578,7
"Alabama",1,0,"june",19574.7966440778,6
"Alabama",1,0,"march",14514.7432732033,3
"Alabama",1,0,"may",22567.0048165911,5
"Alabama",1,0,"november",28681.0709887633,11
"Alabama",1,0,"october",22152.6359361333,10
"Alabama",1,0,"september",21977.0676362363,9
"Alabama",1,1,"april",95493.2476752511,4
"Alabama",1,1,"august",105967.429583408,8
"Alabama",1,1,"december",33890.48943362,12
"Alabama",1,1,"february",79090.4211757733,2
"Alabama",1,1,"january",79063.6545071311,1
"Alabama",1,1,"july",100663.045473038,7
"Alabama",1,1,"june",99169.9749665767,6
"Alabama",1,1,"march",86121.6449799956,3
"Alabama",1,1,"may",96298.4034641111,5
"Alabama",1,1,"november",135178.650952973,11
"Alabama",1,1,"october",109206.808620272,10
"Alabama",1,1,"september",107488.265643524,9
"Alabama",1,NA,"april",46285.4671844211,4
"Alabama",1,NA,"august",50597.4740541278,8
"Alabama",1,NA,"december",24647.5206448,12
"Alabama",1,NA,"february",32636.6059676911,2
"Alabama",1,NA,"january",32932.7322935911,1
"Alabama",1,NA,"july",48100.5487111767,7
"Alabama",1,NA,"june",46562.4061567322,6
"Alabama",1,NA,"march",37791.4018443011,3
"Alabama",1,NA,"may",44257.1844067567,5
"Alabama",1,NA,"november",40185.2503474333,11
"Alabama",1,NA,"october",70050.6923404,10
"Alabama",1,NA,"september",53807.2711987063,9
"Alaska",0,0,"april",2814.68080293933,4
"Alaska",0,0,"august",3213.42366932189,8
"Alaska",0,0,"december",2105.2855684095,12
"Alaska",0,0,"february",2144.59486456278,2
"Alaska",0,0,"january",2052.95208535389,1
"Alaska",0,0,"july",3058.081355421,7
"Alaska",0,0,"june",2901.22044225433,6
"Alaska",0,0,"march",2694.50943088767,3
"Alaska",0,0,"may",2865.83752818322,5
"Alaska",0,0,"november",3082.02201047533,11
"Alaska",0,0,"october",3016.7178299155,10
"Alaska",0,0,"september",3138.741230519,9
"Alaska",0,1,"april",8171.315975516,4
"Alaska",0,1,"august",9319.7869192,8
"Alaska",0,1,"december",3920.4384841635,12
"Alaska",0,1,"february",7417.89414549278,2
"Alaska",0,1,"january",7115.02342074278,1
"Alaska",0,1,"july",8761.34238216867,7
"Alaska",0,1,"june",8750.83862598867,6
"Alaska",0,1,"march",7861.352488375,3
"Alaska",0,1,"may",8240.49267843822,5
"Alaska",0,1,"november",8553.39974271567,11
"Alaska",0,1,"october",9437.53586144967,10
"Alaska",0,1,"september",9037.52929587462,9
"Alaska",0,NA,"april",987.066770723375,4
"Alaska",0,NA,"august",1185.85008448713,8
"Alaska",0,NA,"december",850.218428894,12
"Alaska",0,NA,"february",622.615186752125,2
"Alaska",0,NA,"january",690.530483568143,1
"Alaska",0,NA,"july",1295.35645228386,7
"Alaska",0,NA,"june",1225.28270595962,6
"Alaska",0,NA,"march",951.420584177125,3
"Alaska",0,NA,"may",1066.82516867962,5
"Alaska",0,NA,"november",565.316629156667,11
"Alaska",0,NA,"october",1008.4549231872,10
"Alaska",0,NA,"september",931.893216308375,9
"Alaska",1,0,"april",1923.93531628378,4
"Alaska",1,0,"august",2252.88667654256,8
"Alaska",1,0,"december",4058.5575422,12
"Alaska",1,0,"february",1273.559829771,2
"Alaska",1,0,"january",1051.08876222656,1
"Alaska",1,0,"july",1765.71396962433,7
"Alaska",1,0,"june",1932.92751885211,6
"Alaska",1,0,"march",1453.86775671922,3
"Alaska",1,0,"may",1709.23892833822,5
"Alaska",1,0,"november",2363.29802275667,11
"Alaska",1,0,"october",2355.676572976,10
"Alaska",1,0,"september",2738.1235639125,9
"Alaska",1,1,"april",10811.2511774212,4
"Alaska",1,1,"august",12226.4267491724,8
"Alaska",1,1,"december",10969.4498739685,12
"Alaska",1,1,"february",9500.13471392511,2
"Alaska",1,1,"january",9592.29506772956,1
"Alaska",1,1,"july",11700.996098152,7
"Alaska",1,1,"june",11232.8065672231,6
"Alaska",1,1,"march",9877.45141248244,3
"Alaska",1,1,"may",11438.3881858996,5
"Alaska",1,1,"november",12526.7811027137,11
"Alaska",1,1,"october",11374.7951503123,10
"Alaska",1,1,"september",13137.3117679564,9
"Alaska",1,NA,"april",5340.47243952767,4
"Alaska",1,NA,"august",6381.71494083522,8
"Alaska",1,NA,"december",7089.29469485,12
"Alaska",1,NA,"february",4278.31481176656,2
"Alaska",1,NA,"january",4348.21294185389,1
"Alaska",1,NA,"july",5901.85520435967,7
"Alaska",1,NA,"june",5484.402055153,6
"Alaska",1,NA,"march",5027.04076903878,3
"Alaska",1,NA,"may",5851.82362589967,5
"Alaska",1,NA,"november",6807.93697971033,11
"Alaska",1,NA,"october",6293.2026529165,10
"Alaska",1,NA,"september",6894.09159831962,9
"Arizona",0,0,"april",44181.7827704411,4
"Arizona",0,0,"august",55616.7582154022,8
"Arizona",0,0,"december",53172.046008615,12
"Arizona",0,0,"february",34645.60607428,2
"Arizona",0,0,"january",32757.6853542189,1
"Arizona",0,0,"july",55663.8222239422,7
"Arizona",0,0,"june",54250.93727203,6
"Arizona",0,0,"march",36438.0687131189,3
"Arizona",0,0,"may",52450.5172569856,5
"Arizona",0,0,"november",70264.9480793833,11
"Arizona",0,0,"october",63822.745741665,10
"Arizona",0,0,"september",58592.692899965,9
"Arizona",0,1,"april",88619.8993401,4
"Arizona",0,1,"august",96817.9152561644,8
"Arizona",0,1,"december",68688.61394877,12
"Arizona",0,1,"february",77704.42878676,2
"Arizona",0,1,"january",76313.8809169378,1
"Arizona",0,1,"july",94992.6572611344,7
"Arizona",0,1,"june",94056.9739912556,6
"Arizona",0,1,"march",83711.5474653989,3
"Arizona",0,1,"may",91857.2592113489,5
"Arizona",0,1,"november",105879.05403981,11
"Arizona",0,1,"october",98708.5696204017,10
"Arizona",0,1,"september",89968.2632217838,9
"Arizona",0,NA,"april",24255.5049101111,4
"Arizona",0,NA,"august",26897.2307657389,8
"Arizona",0,NA,"december",9051.327681765,12
"Arizona",0,NA,"february",15880.1250399778,2
"Arizona",0,NA,"january",15880.1250399778,1
"Arizona",0,NA,"july",28143.9550521611,7
"Arizona",0,NA,"june",27962.8430576556,6
"Arizona",0,NA,"march",18739.2192346333,3
"Arizona",0,NA,"may",25263.7874737911,5
"Arizona",0,NA,"november",17657.1535595233,11
"Arizona",0,NA,"october",22422.7735314133,10
"Arizona",0,NA,"september",21444.2240816375,9
"Arizona",1,0,"april",24774.4691582667,4
"Arizona",1,0,"august",37466.3799714289,8
"Arizona",1,0,"december",20974.995585935,12
"Arizona",1,0,"february",18200.05913412,2
"Arizona",1,0,"january",16970.3239756089,1
"Arizona",1,0,"july",32379.6439007222,7
"Arizona",1,0,"june",32507.6840239089,6
"Arizona",1,0,"march",20630.8942088756,3
"Arizona",1,0,"may",28333.9537346744,5
"Arizona",1,0,"november",33405.06212213,11
"Arizona",1,0,"october",26940.8221348933,10
"Arizona",1,0,"september",31928.9887868813,9
"Arizona",1,1,"april",120732.717920934,4
"Arizona",1,1,"august",131634.784484458,8
"Arizona",1,1,"december",61699.570319255,12
"Arizona",1,1,"february",97865.4277149856,2
"Arizona",1,1,"january",94792.7705968544,1
"Arizona",1,1,"july",131010.386195712,7
"Arizona",1,1,"june",129239.894296902,6
"Arizona",1,1,"march",107156.878173186,3
"Arizona",1,1,"may",125587.861422597,5
"Arizona",1,1,"november",129404.456601647,11
"Arizona",1,1,"october",118556.876032208,10
"Arizona",1,1,"september",120951.919271815,9
"Arizona",1,NA,"april",51262.39895709,4
"Arizona",1,NA,"august",57236.7538805056,8
"Arizona",1,NA,"december",43395.4744428,12
"Arizona",1,NA,"february",43292.4864129789,2
"Arizona",1,NA,"january",42009.5152375233,1
"Arizona",1,NA,"july",59674.7886748056,7
"Arizona",1,NA,"june",56329.8445741256,6
"Arizona",1,NA,"march",49014.8390503456,3
"Arizona",1,NA,"may",54822.9790599744,5
"Arizona",1,NA,"november",57895.0689205,11
"Arizona",1,NA,"october",50051.4745745483,10
"Arizona",1,NA,"september",62533.5132224812,9
"Arkansas",0,0,"april",6242.15102377222,4
"Arkansas",0,0,"august",8361.99219694,8
"Arkansas",0,0,"december",2323.85950202,12
"Arkansas",0,0,"february",6421.17188754,2
"Arkansas",0,0,"january",6349.859754305,1
"Arkansas",0,0,"july",8497.65114033778,7
"Arkansas",0,0,"june",7358.05153990333,6
"Arkansas",0,0,"march",6553.623858015,3
"Arkansas",0,0,"may",6791.94137226333,5
"Arkansas",0,0,"november",8687.36830182667,11
"Arkansas",0,0,"october",6679.50787569,10
"Arkansas",0,0,"september",7154.29508155625,9
"Arkansas",0,1,"april",39856.2699320167,4
"Arkansas",0,1,"august",47335.6894299622,8
"Arkansas",0,1,"december",26458.350332475,12
"Arkansas",0,1,"february",36102.84804873,2
"Arkansas",0,1,"january",35888.2688917567,1
"Arkansas",0,1,"july",45725.2498789078,7
"Arkansas",0,1,"june",43203.7334322556,6
"Arkansas",0,1,"march",38441.3961512122,3
"Arkansas",0,1,"may",41853.4091996522,5
"Arkansas",0,1,"november",54268.6927934967,11
"Arkansas",0,1,"october",48905.9261361717,10
"Arkansas",0,1,"september",51976.4486380238,9
"Arkansas",0,NA,"april",8810.03448160625,4
"Arkansas",0,NA,"august",11737.2469078644,8
"Arkansas",0,NA,"december",1389.0259265,12
"Arkansas",0,NA,"february",6441.05058395875,2
"Arkansas",0,NA,"january",7489.73036503375,1
"Arkansas",0,NA,"july",11805.6588404887,7
"Arkansas",0,NA,"june",11838.4960164188,6
"Arkansas",0,NA,"march",7993.52110863625,3
"Arkansas",0,NA,"may",11103.8624520687,5
"Arkansas",0,NA,"november",8465.76405017667,11
"Arkansas",0,NA,"october",8792.14312124333,10
"Arkansas",0,NA,"september",10701.9087452825,9
"Arkansas",1,0,"april",4248.04835766286,4
"Arkansas",1,0,"august",6461.67467090375,8
"Arkansas",1,0,"december",3206.68453355,12
"Arkansas",1,0,"february",3052.44780704714,2
"Arkansas",1,0,"january",2951.87914836625,1
"Arkansas",1,0,"july",6149.07475955625,7
"Arkansas",1,0,"june",4983.17167185,6
"Arkansas",1,0,"march",3850.98575728143,3
"Arkansas",1,0,"may",4283.23565206286,5
"Arkansas",1,0,"november",4688.68514568333,11
"Arkansas",1,0,"october",5535.762177212,10
"Arkansas",1,0,"september",4770.09760264714,9
"Arkansas",1,1,"april",48212.0877577089,4
"Arkansas",1,1,"august",55072.45554046,8
"Arkansas",1,1,"december",24846.365202005,12
"Arkansas",1,1,"february",40530.6355323233,2
"Arkansas",1,1,"january",41213.1013054678,1
"Arkansas",1,1,"july",56767.27799859,7
"Arkansas",1,1,"june",54770.2473335644,6
"Arkansas",1,1,"march",44610.7986761078,3
"Arkansas",1,1,"may",50931.64934646,5
"Arkansas",1,1,"november",51030.9388448233,11
"Arkansas",1,1,"october",53222.3882637083,10
"Arkansas",1,1,"september",56201.6602563275,9
"Arkansas",1,NA,"april",24035.3450366044,4
"Arkansas",1,NA,"august",26775.1374908989,8
"Arkansas",1,NA,"december",15232.59180725,12
"Arkansas",1,NA,"february",21421.7151002675,2
"Arkansas",1,NA,"january",21385.738798505,1
"Arkansas",1,NA,"july",25578.9138876456,7
"Arkansas",1,NA,"june",24232.7166322711,6
"Arkansas",1,NA,"march",21272.9870004078,3
"Arkansas",1,NA,"may",24629.1402502822,5
"Arkansas",1,NA,"november",20140.5908967,11
"Arkansas",1,NA,"october",24431.1543711283,10
"Arkansas",1,NA,"september",29721.65147108,9
"California",0,0,"april",242858.527538154,4
"California",0,0,"august",271799.008694971,8
"California",0,0,"december",208526.17984568,12
"California",0,0,"february",162254.140122616,2
"California",0,0,"january",157719.720397411,1
"California",0,0,"july",268201.164508953,7
"California",0,0,"june",263223.084832864,6
"California",0,0,"march",216609.186180517,3
"California",0,0,"may",254403.650297636,5
"California",0,0,"november",348268.325398713,11
"California",0,0,"october",311470.088566772,10
"California",0,0,"september",291906.156111154,9
"California",0,1,"april",460484.661541399,4
"California",0,1,"august",530117.224324017,8
"California",0,1,"december",403524.27991127,12
"California",0,1,"february",389248.076597259,2
"California",0,1,"january",383722.742130047,1
"California",0,1,"july",509343.166133026,7
"California",0,1,"june",500741.341504546,6
"California",0,1,"march",449278.870978619,3
"California",0,1,"may",482473.825596712,5
"California",0,1,"november",516055.016730023,11
"California",0,1,"october",462036.249315195,10
"California",0,1,"september",517752.301729824,9
"California",0,NA,"april",160262.951737757,4
"California",0,NA,"august",173757.862608818,8
"California",0,NA,"december",127564.486659065,12
"California",0,NA,"february",127777.882469189,2
"California",0,NA,"january",115988.533631982,1
"California",0,NA,"july",162387.916599618,7
"California",0,NA,"june",195928.562267267,6
"California",0,NA,"march",134295.239543197,3
"California",0,NA,"may",157028.266843798,5
"California",0,NA,"november",197026.63212034,11
"California",0,NA,"october",202440.087745177,10
"California",0,NA,"september",188570.747388626,9
"California",1,0,"april",177315.838044144,4
"California",1,0,"august",237797.058818546,8
"California",1,0,"december",130335.959259565,12
"California",1,0,"february",136409.544518722,2
"California",1,0,"january",130357.643912572,1
"California",1,0,"july",226258.885718749,7
"California",1,0,"june",223115.690293391,6
"California",1,0,"march",159443.299273374,3
"California",1,0,"may",196854.54222333,5
"California",1,0,"november",208507.659409517,11
"California",1,0,"october",204648.858074757,10
"California",1,0,"september",226242.903520891,9
"California",1,1,"april",596680.518502642,4
"California",1,1,"august",646565.806692093,8
"California",1,1,"december",502916.261470865,12
"California",1,1,"february",521464.263828621,2
"California",1,1,"january",533005.599943459,1
"California",1,1,"july",666840.714968026,7
"California",1,1,"june",647640.61617267,6
"California",1,1,"march",562367.020521276,3
"California",1,1,"may",635395.798515928,5
"California",1,1,"november",749538.614697787,11
"California",1,1,"october",634514.626603957,10
"California",1,1,"september",635807.227149407,9
"California",1,NA,"april",255406.613764919,4
"California",1,NA,"august",309354.682037453,8
"California",1,NA,"december",116378.69664206,12
"California",1,NA,"february",208933.234160222,2
"California",1,NA,"january",218804.854103796,1
"California",1,NA,"july",298934.214749604,7
"California",1,NA,"june",284624.876993761,6
"California",1,NA,"march",233328.389572868,3
"California",1,NA,"may",274458.45433775,5
"California",1,NA,"november",219099.58999965,11
"California",1,NA,"october",230529.902041583,10
"California",1,NA,"september",274134.946147298,9
"Colorado",0,0,"april",35838.3958125096,4
"Colorado",0,0,"august",46171.4846331673,8
"Colorado",0,0,"december",49806.7253848,12
"Colorado",0,0,"february",24088.8766979067,2
"Colorado",0,0,"january",22194.9126576467,1
